Ch1 Amplitude,Ch2 Amplitude,Cluster
2627.63818,7423.06445,1
2627.698,1683.04553,1
2627.7146,1729.79407,1
2627.7312,1825.97437,1
2627.73535,7549.64258,1
2627.801,1723.23914,1
2627.88745,1835.316,1
2627.9646,1672.21265,1
2628.02441,7386.759,1
2628.10938,1819.88525,1
2628.16675,7666.43945,1
2628.1958,1656.62964,1
2628.2207,7371.969,1
2628.26855,1702.19666,1
2628.3208,7444.78857,1
2628.332,1742.85022,1
2628.39355,1747.27637,1
2628.523,1651.15149,1
2628.58,1736.03015,1
2628.67065,1778.67542,1
2628.685,1678.5426,1
2628.7,1692.83533,1
2628.72119,1743.353,1
2628.74951,1725.72754,1
2628.7522,7448.04834,1
2628.78271,1753.699,1
2628.809,7256.39844,1
2628.89453,7533.69434,1
2628.91357,1756.24133,1
2629.138,1714.57336,1
2629.18262,7447.711,1
2629.242,1763.9176,1
2629.34155,7355.211,1
2629.35474,1676.31348,1
2629.38672,7564.83057,1
2629.45923,7413.588,1
2629.542,1768.71143,1
2629.55176,7582.926,1
2629.561,7471.436,1
2629.681,1788.09436,1
2629.71362,1745.165,1
2629.715,1752.87781,1
2629.72925,1682.559,1
2629.77539,1778.57678,1
2629.8313,7534.537,1
2630.029,1780.02576,1
2630.069,7598.8584,1
2630.072,7609.914,1
2630.094,1689.00891,1
2630.09424,7475.48926,1
2630.09521,1796.766,1
2630.12842,1688.97986,1
2630.206,1834.99658,1
2630.28418,1781.481,1
2630.29663,1768.2196,1
2630.33618,7419.67871,1
2630.46362,1638.45825,1
2630.54419,7392.0957,1
2630.60034,7399.92139,1
2630.744,1675.17322,1
2630.783,1740.25854,1
2630.79639,1796.44958,1
2630.942,7487.65137,1
2630.943,7555.041,1
2630.99536,1694.07971,1
2631.00171,1682.72,1
2631.18823,1768.595,1
2631.20557,1661.22253,1
2631.22,1727.21216,1
2631.229,1792.93591,1
2631.30713,7299.9707,1
2631.318,1709.27844,1
2631.36743,1775.89856,1
2631.407,1706.81189,1
2631.426,1763.3291,1
2631.461,1672.17554,1
2631.488,1807.1344,1
2631.545,1768.8562,1
2631.56226,1736.604,1
2631.57544,7589.392,1
2631.59619,1746.84436,1
2631.59668,7416.679,1
2631.60718,1773.18457,1
2631.636,7567.43,1
2631.645,7433.37646,1
2631.68359,1766.80188,1
2631.81,7569.735,1
2631.854,7688.465,1
2631.86987,1720.82141,1
2631.96631,1811.0658,1
2632.02466,1662.86853,1
2632.0437,1779.16956,1
2632.05029,1629.74341,1
2632.06787,1800.7948,1
2632.39,1711.16919,1
2632.39014,7464.857,1
2632.43457,1797.73193,1
2632.43481,1757.32117,1
2632.54785,1823.21118,1
2632.628,1780.759,1
2632.665,7440.805,1
2632.70752,1720.2406,1
2632.76,1776.19922,1
2632.771,7476.29053,1
2632.8064,1774.21228,1
2632.8396,1710.35217,1
2632.904,1715.04626,1
2632.91138,1846.83582,1
2632.97778,1741.55383,1
2633.00879,1692.02173,1
2633.09277,7292.19873,1
2633.1748,1728.558,1
2633.294,1819.52966,1
2633.51782,1747.2948,1
2633.611,1656.67773,1
2633.61914,7585.44629,1
2633.62,7494.956,1
2633.642,7484.48975,1
2633.66064,1835.60962,1
2633.72656,1779.69946,1
2633.78931,7477.87939,1
2633.84375,1763.13586,1
2633.86621,1738.26782,1
2633.949,1841.366,1
2633.9502,7386.89551,1
2633.954,7250.694,1
2633.96973,1757.59729,1
2634.22046,1771.55579,1
2634.31421,7538.2915,1
2634.383,7515.64941,1
2634.446,1767.16919,1
2634.51123,1749.61218,1
2634.53076,1809.24817,1
2634.61572,1701.85376,1
2634.6543,7407.53027,1
2634.72339,1748.302,1
2634.83179,1862.16492,1
2634.84424,7637.432,1
2634.93628,1732.874,1
2635.003,7536.04346,1
2635.05347,1715.37109,1
2635.071,1780.03992,1
2635.0874,7532.25732,1
2635.21777,7504.172,1
2635.37549,1674.38354,1
2635.424,7438.97,1
2635.442,1773.233,1
2635.5332,7480.699,1
2635.536,7450.71729,1
2635.55054,7598.71,1
2635.77979,1825.7262,1
2635.82837,1703.17236,1
2635.838,7450.84326,1
2635.8623,7404.52246,1
2635.87524,7388.85645,1
2635.88916,1761.96521,1
2635.94971,1779.13953,1
2635.963,1727.47754,1
2636.04443,1860.68311,1
2636.04736,1717.49646,1
2636.08716,1820.688,1
2636.156,1784.914,1
2636.17676,7415.34766,1
2636.19116,7638.021,1
2636.19385,7691.414,1
2636.24146,7382.41357,1
2636.29077,1688.04077,1
2636.29883,1646.42578,1
2636.47217,1668.94507,1
2636.49634,1823.19849,1
2636.50659,1780.702,1
2636.52246,7417.40625,1
2636.53467,1675.297,1
2636.6897,7626.64453,1
2636.74414,1783.79419,1
2636.83447,7359.59,1
2636.86865,1807.9043,1
2636.959,7662.365,1
2636.98438,7304.33252,1
2636.98779,1731.74988,1
2636.99146,7342.91162,1
2637.012,7678.004,1
2637.02979,1792.91064,1
2637.0498,1747.07983,1
2637.09155,7602.389,1
2637.126,1718.8999,1
2637.152,7652.46826,1
2637.162,7629.39844,1
2637.18481,7507.19,1
2637.22363,1803.90112,1
2637.23,1749,1
2637.24268,1697.48535,1
2637.29565,1714.352,1
2637.47241,1717.84241,1
2637.51538,1652.07239,1
2637.535,7349.02,1
2637.545,1802.90759,1
2637.54736,7735.703,1
2637.55957,7908.43555,1
2637.577,1727.77893,1
2637.6604,1795.3125,1
2637.66675,7507.059,1
2637.77271,7479.186,1
2637.798,1822.74622,1
2637.799,7683.555,1
2637.87256,1721.74866,1
2637.935,1702.468,1
2637.95874,7524.313,1
2637.966,1763.616,1
2637.967,7444.096,1
2638.002,1736.28931,1
2638.06421,1790.48035,1
2638.069,1724.94531,1
2638.09644,1754.11,1
2638.17358,1835.53748,1
2638.18726,1706.43713,1
2638.23242,1769.51074,1
2638.29932,1659.90076,1
2638.30078,7338.71826,1
2638.32,1807.26477,1
2638.37085,7227.046,1
2638.37158,7465.62354,1
2638.384,1624.06445,1
2638.4292,7484.61328,1
2638.44287,7798.54639,1
2638.45313,7477.555,1
2638.45483,1746.32251,1
